topic,year,link text,link url,subtopic,question wording,answer 1 text,answer 1 value,answer 2 text,answer 2 value,main text,method
Public opinion on life tenure,2024,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,56%,Not Confident,44%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2024,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,100%,Disapprove,0%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2024,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,5%,Not Confident,95%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2024,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,34%,Disapprove,66%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2023,name of poll,link,Maximum age limit," Fusce egestas, odio ornare mollis auctor?",Confident,89%,Not Confident,11%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2023,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,21%,Disapprove,79%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2022,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,6%,Not Confident,94%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2022,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,62%,Disapprove,38%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2022,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,84%,Not Confident,16%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2022,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,20%,Disapprove,80%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2021,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,3%,Not Confident,97%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2021,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,81%,Disapprove,19%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2021,name of poll,link,Term limits and maximum age limit," Fusce egestas, odio ornare mollis auctor?",Confident,24%,Not Confident,76%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2020,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,92%,Disapprove,8%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2020,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,98%,Not Confident,2%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on ethics reform,2025,name of poll,link,Ethics code with investigatory power," Fusce egestas, odio ornare mollis auctor?",Approve,40%,Disapprove,60%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on ethics reform,2024,name of poll,link,Ethics code," Fusce egestas, odio ornare mollis auctor?",Confident,95%,Not Confident,5%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on ethics reform,2024,name of poll,link,Ethics code with investigatory power," Fusce egestas, odio ornare mollis auctor?",Approve,31%,Disapprove,69%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on ethics reform,2024,name of poll,link,Ethics code," Fusce egestas, odio ornare mollis auctor?",Confident,61%,Not Confident,39%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
